"","date","cd1","cd2","gov","pres"
"1",2024-09-26,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"2",2024-09-25,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"3",2024-09-24,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"4",2024-09-23,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"5",2024-09-22,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"6",2024-09-21,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"7",2024-09-20,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"8",2024-09-19,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"9",2024-09-18,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"10",2024-09-17,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"11",2024-09-16,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"12",2024-09-15,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"13",2024-09-14,-14.7404122620952,-11,0.758037769792791,-9.48880977436437
"14",2024-09-13,-12,-11,3,-7.78957055596775
"15",2024-09-12,-12,-11,3,-7.78957055596774
"16",2024-09-11,-12,-11,3,-7.78957055596775
"17",2024-09-10,NA,NA,3.50025783802815,-6.22078054866995
"18",2024-09-09,NA,NA,3.50025783802815,-6.22078054866996
"19",2024-09-08,NA,NA,3.50025783802815,-6.22078054866996
"20",2024-09-07,NA,NA,3.50025783802815,-6.22078054866996
"21",2024-09-06,NA,NA,3.50025783802815,-6.22078054866996
"22",2024-09-05,NA,NA,3.50025783802815,-6.22078054866996
